tmb,h2o2,cmc,bsa,imidazole,cacl2,edta,sucrose,mgso4,feso4,peg20k,model,acq,pred_mean,pred_sigma,active_count
1.0,0.004999999999999999,0.863476854211043,0.0740749257118809,0.031038135551846657,0.28559670987742014,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.691838557614073,194665.59946333332,10052.10812211983,4
1.0,0.004999999999999999,1.0,0.071952993680494,0.06520790651899465,0.28889419899251567,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.643087068083135,192574.7899115748,10378.750353453535,4
1.0,0.004999999999999999,0.2398212231915681,0.07931878633360512,0.03736346731376716,0.27924571903737244,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.615714438555106,191441.66392575222,10162.971632334993,4
1.0,0.004999999999999999,0.0,0.07244141999712322,0.03098345436349447,0.2833440717415548,0.0,0.005279826863965522,0.0,0.0,0.0,new_additive_set,10.605339902889176,191020.5997529223,9839.874193500154,4
1.0,0.004999999999999999,0.0,0.07402753489582455,0.03103481165342179,0.285597284368156,0.03680214062411414,0.0,0.0,0.0,0.0,new_additive_set,10.584888162910861,190211.37843142595,10843.51418783829,4
1.0,0.004999999999999999,1.0,0.07809273451861827,0.1541804097833899,0.28963912849760853,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.582329405927611,190107.52245438096,10728.056876585344,4
1.0,0.004999999999999999,1.0,0.07753783236544236,0.4663364151124382,0.2899854007583179,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.577505499604738,189918.3396935264,10797.624541491348,4
1.0,0.004999999999999999,0.0,0.07615274653363624,0.01770097929042328,0.28504924343600013,0.03612969437568044,0.0,0.0,0.0,0.0,new_additive_set,10.54280038093154,188583.3903974835,11012.737169400561,4
1.0,0.004999999999999999,0.0,0.07377218832232608,0.031214013105889914,0.2849204103970794,0.34290153114486915,0.0,0.0,0.0,0.0,new_additive_set,10.523528265112814,187858.63062776087,10852.274158715256,4
1.0,0.004999999999999999,0.0,0.07938807468001394,0.15747373576401158,0.2826681143149152,0.0,0.004999999999999999,0.0,0.0,0.0,new_additive_set,10.48657943066272,186506.80208447832,10413.170411320621,4
0.01621457657234386,0.004999999999999999,1.0,0.06647507059016008,0.04696221818382228,0.30121781959221045,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.482919147038894,186379.792179268,11226.768243975364,4
1.0,0.004999999999999999,0.0,0.0823629684443284,0.46059501447954676,0.2905658179802976,0.0,0.0056064782880989456,0.0,0.0,0.0,new_additive_set,10.479839833681114,186267.02118286735,10526.327017491425,4
1.0,0.004999999999999999,0.0,0.08011855050001647,0.03110018494146493,0.28948667116452265,0.0,0.0,0.008542993034061561,0.0,0.0,new_additive_set,10.472875153634975,186017.47104230337,10222.189382006834,4
1.0,0.004999999999999999,0.004999999999999999,0.07638366913120895,0.030066762895561743,0.29349843783238583,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.46264216885347,185664.5948785756,11403.848002907513,4
1.0,0.004999999999999999,0.6405499281947504,0.06879476528403385,0.004999999999999999,0.2823071259861881,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.451476172033342,185276.2317627007,11402.982362864146,4
1.0,0.004999999999999999,1.0,0.0,0.03080733586843281,0.2858511039571136,0.0,0.005350047886925062,0.0,0.0,0.0,new_additive_set,10.44315566075336,184978.35418101997,9828.490426935208,4
1.0,0.004999999999999999,0.9732335986654976,0.0,0.0310317230906309,0.28188288313289156,0.036911785309698575,0.0,0.0,0.0,0.0,new_additive_set,10.426712864046753,184426.14589340828,10792.054303081706,4
1.0,0.004999999999999999,0.56199375676853,0.0,0.031058625890907497,0.2819092892274834,0.34469356717982985,0.0,0.0,0.0,0.0,new_additive_set,10.34032793881733,181587.97612278612,10586.056451473822,4
1.0,0.004999999999999999,0.0,0.08117016375879661,0.22184837281495456,0.28478804571291855,0.0,0.0,0.008021700312269618,0.0,0.0,new_additive_set,10.334235336687465,181438.3810421686,10721.19913522234,4
1.0,0.004999999999999999,0.0,0.35231070285117677,0.4568890665408682,0.2865374756144611,0.03713773159819939,0.0,0.0,0.0,0.0,new_additive_set,10.319354024721116,180893.21953521844,11649.145844259809,4
1.0,0.004999999999999999,0.0,0.07157487137306223,0.02076536511777983,0.2919796264587879,0.0,0.0,0.0,0.005965413091765588,0.0,new_additive_set,10.283423555451403,179820.26985210553,11283.749168317958,4
1.0,0.004999999999999999,1.0,0.0,0.03193868376061823,0.2981801116448524,0.0,0.0,0.0,0.012886348180454284,0.0,new_additive_set,10.277203539381107,179633.35429112054,10589.212978530173,4
1.0,0.004999999999999999,0.0,0.08371014872220858,0.042105388485345605,0.28240690779031624,0.0,0.0,0.0,0.020469828830348216,0.0,new_additive_set,10.272269161001427,179540.20269627112,10602.633473359156,4
1.0,0.004999999999999999,0.6942523013504168,0.0,0.030740302846940903,0.2827834126510154,0.0,0.0,0.0,0.005969002432410525,0.0,new_additive_set,10.250738709342373,178816.83786628328,10994.352899901998,4
1.0,0.004999999999999999,1.0,0.0,0.464168209358348,0.28592998105917095,0.37677673131166445,0.0,0.0,0.0,0.0,new_additive_set,10.199919357803399,177337.1746745914,11384.577819933364,4
1.0,0.004999999999999999,0.0,0.0772958627089013,0.10731133248882911,0.27557401222375055,0.0,0.0,0.0,0.0,1.0,new_additive_set,10.19886935553283,177426.77739311956,10605.491680830304,4
1.0,0.004999999999999999,0.0,0.0,0.03806349395394317,0.2845792384239411,0.036172291849941716,0.0,0.0,0.013560532911727693,0.0,new_additive_set,10.160965249683501,176310.66438457777,11198.783532855607,4
1.0,0.004999999999999999,0.7035674969602189,0.0,0.030530562013495792,0.28446939502732116,0.0,0.0,0.0,0.0,0.004999999999999999,new_additive_set,10.155115717388764,176138.38358410023,11169.234883817548,4
1.0,0.004999999999999999,0.0,0.07727197163926734,0.23602460517079168,0.3000715586562104,0.0,0.0,0.0,0.0,0.004999999999999999,new_additive_set,10.14285993883979,175807.20054160617,11949.472940431597,4
1.0,0.004999999999999999,0.6018214499288044,0.0,0.004999999999999999,0.29110545918003944,0.0,0.006213411003122278,0.0,0.0,0.0,new_additive_set,10.132849314231851,175553.08612897614,11160.870122012897,4
1.0,0.004999999999999999,0.0,0.07517518521782658,0.004999999999999999,0.2862921071059646,0.0,0.0,0.0,0.0,0.004999999999999999,new_additive_set,9.969561579832057,171514.89820044464,12706.604533070611,4
1.0,0.004999999999999999,0.19856541766754793,0.0,0.004999999999999999,0.27938050885490706,0.0,0.0,0.0,0.004999999999999999,0.0,new_additive_set,9.700043812275071,165983.06229736388,12723.764759499254,4
